2024-04-21T03:20:22.859+1000 INFO tgc.plus.callservice.MailServiceApplication Starting MailServiceApplication using Java 17.0.8 with PID 25511 (/home/makar/IdeaProjects/TigerHost/TigerHostApi/MailService/build/classes/java/main started by makar in /home/makar/IdeaProjects/TigerHost/TigerHostApi)
2024-04-21T08:26:22.051+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:26:22.062+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:26:22.069+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:26:22.075+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:26:22.085+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:26:22.092+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:26:22.102+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:26:22.110+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:26:22.120+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:26:22.128+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:26:22.134+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-24T18:36:23.759+1000 INFO tgc.plus.callservice.MailServiceApplication Starting MailServiceApplication using Java 17.0.8 with PID 112405 (/home/makar/IdeaProjects/TigerHost/TigerHostApi/MailService/build/classes/java/main started by makar in /home/makar/IdeaProjects/TigerHost/TigerHostApi)
2024-04-24T18:36:23.761+1000 DEBUG tgc.plus.callservice.MailServiceApplication Running with Spring Boot v3.2.1, Spring v6.1.2
2024-04-24T18:36:23.761+1000 INFO tgc.plus.callservice.MailServiceApplication No active profile set, falling back to 1 default profile: "default"
2024-04-24T18:36:25.121+1000 INFO tgc.plus.callservice.MailServiceApplication Started MailServiceApplication in 1.658 seconds (process running for 2.157)
